POCO,OPERADOR,ESTADO,BACIA,CAMPO,TERRA_MAR,CATEGORIA,SITUACAO,CONCLUSAO,TITULARIDADE
9-RBUA-5-BA,Petrobras,BA,Recôncavo,RIO DO BU,T,Especial,ABANDONADO PERMANENTEMENTE,9/2/92 0:00,Público
9-RBUA-6-BA,Petrobras,BA,Recôncavo,RIO DO BU,T,Especial,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,3/21/93 0:00,Público
6-BRSA-622P-BA,Petrobras,BA,Recôncavo,,T,Jazida Mais Profunda,ABANDONADO PERMANENTEMENTE,1/30/09 0:00,Público
7-AR-56-BA,Petrobras,BA,Recôncavo,ARAÇÁS,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,10/29/68 0:00,Público
7-AG-220-BA,Petrobras,BA,Recôncavo,ÁGUA GRANDE,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,11/30/68 0:00,Público
7-AG-222-BA,Petrobras,BA,Recôncavo,ÁGUA GRANDE,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,12/22/68 0:00,Público
3-ML-5-BA,Petrobras,BA,Recôncavo,MALOMBÊ,T,Extensão,ABANDONADO PERMANENTEMENTE,12/27/68 0:00,Público
7-MG-489P-BA,Petrobras,BA,Recôncavo,MIRANGA,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,2/5/10 0:00,Público
3-ML-6-BA,Petrobras,BA,Recôncavo,MALOMBÊ,T,Extensão,ABANDONADO PERMANENTEMENTE,1/21/69 0:00,Público
6-BRSA-486-ESS,Petrobras,ES,Espírito Santo,,M,Jazida Mais Profunda,ABANDONADO PERMANENTEMENTE,9/18/07 0:00,Público
4-BRSA-593-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro Adjacente,ABANDONADO PERMANENTEMENTE,5/5/08 0:00,Público
4-BRSA-611DP-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro Adjacente,ABANDONADO PERMANENTEMENTE,5/23/08 0:00,Público
1-BRSA-650D-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro,ABANDONADO PERMANENTEMENTE,3/13/09 0:00,Público
1-BRSA-682-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,5/13/09 0:00,Público
1-BRSA-735-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro,ABANDONADO PERMANENTEMENTE,6/29/09 0:00,Público
1-BRSA-736D-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro,ABANDONADO PERMANENTEMENTE,7/7/09 0:00,Público
1-BRSA-783-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro,ABANDONADO PERMANENTEMENTE,11/14/09 0:00,Público
1-BRSA-783A-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro,ABANDONADO PERMANENTEMENTE,4/23/10 0:00,Público
1-BRSA-789-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro,ABANDONADO PERMANENTEMENTE,4/25/10 0:00,Público
1-BRSA-826-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro,ABANDONADO PERMANENTEMENTE,5/16/10 0:00,Público
1-BRSA-826A-ESS,Petrobras,ES,Espírito Santo,,M,Pioneiro,ABANDONADO PERMANENTEMENTE,9/27/10 0:00,Público
7-ET-101-RN,Petrobras,RN,Potiguar,ESTREITO,T,Desenvolvimento,ARRASADO,5/3/83 0:00,Público
7-ET-102-RN,Petrobras,RN,Potiguar,ESTREITO,T,Desenvolvimento,ARRASADO,5/6/83 0:00,Público
1-SCR-1-RN,SPE 3R Petroleum,RN,Potiguar,SALINA CRISTAL,T,Pioneiro,ARRASADO,5/16/83 0:00,Público
7-FP-38-RN,Petrobras,RN,Potiguar,FAZENDA POCINHO,T,Desenvolvimento,ABANDONADO PERMANENTEMENTE,5/24/83 0:00,Público
